电影名称, 评分
肖申克的救赎,9.7
霸王别姬,9.6
阿甘正传,9.5
这个杀手不太冷,9.4
泰坦尼克号,9.4
美丽人生,9.6
千与千寻,9.4
辛德勒的名单,9.5
盗梦空间,9.3
忠犬八公的故事,9.4
星际穿越,9.3
楚门的世界,9.3
海上钢琴师,9.3
三傻大闹宝莱坞,9.2
机器人总动员,9.3
放牛班的春天,9.3
无间道,9.2
疯狂动物城,9.2
大话西游之大圣娶亲,9.2
熔炉,9.3
教父,9.3
当幸福来敲门,9.1
龙猫,9.2
怦然心动,9.1
控方证人,9.6
触不可及,9.3
蝙蝠侠：黑暗骑士,9.2
末代皇帝,9.3
寻梦环游记,9.1
活着,9.3
指环王3：王者无敌,9.2
何以为家,9.1
乱世佳人,9.3
哈利·波特与魔法石,9.1
飞屋环游记,9.0
素媛,9.3
摔跤吧！爸爸,9.0
少年派的奇幻漂流,9.1
十二怒汉,9.4
哈尔的移动城堡,9.1
鬼子来了,9.3
我不是药神,9.0
大话西游之月光宝盒,9.0
天空之城,9.1
闻香识女人,9.1
罗马假日,9.0
指环王2：双塔奇兵,9.1
猫鼠游戏,9.1
天堂电影院,9.2
辩护人,9.2
指环王1：护戒使者,9.1
大闹天宫,9.4
钢琴家,9.2
狮子王,9.1
教父2,9.2
死亡诗社,9.1
搏击俱乐部,9.0
黑客帝国,9.0
让子弹飞,8.9
绿皮书,8.9
饮食男女,9.1
美丽心灵,9.0
窃听风暴,9.2
海蒂和爷爷,9.2
两杆大烟枪,9.1
本杰明·巴顿奇事,8.9
看不见的客人,8.8
飞越疯人院,9.1
穿条纹睡衣的男孩,9.1
西西里的美丽传说,8.9
情书,8.9
拯救大兵瑞恩,9.0
小鞋子,9.2
音乐之声,9.1
海豚湾,9.3
阿凡达,8.8
致命魔术,8.9
美国往事,9.2
沉默的羔羊,8.9
禁闭岛,8.8
蝴蝶效应,8.8
低俗小说,8.9
心灵捕手,8.9
布达佩斯大饭店,8.9
七宗罪,8.8
春光乍泄,8.9
哈利·波特与死亡圣器(下),8.9
摩登时代,9.3
被嫌弃的松子的一生,8.9
喜剧之王,8.8
致命ID,8.8
杀人回忆,8.9
加勒比海盗,8.8
剪刀手爱德华,8.7
勇敢的心,8.9
狩猎,9.1
请以你的名字呼唤我,8.9
红辣椒,9.0
断背山,8.8
7号房的礼物,8.9
天使爱美丽,8.7
幽灵公主,8.9
小森林 夏秋篇,9.0
第六感,8.9
阳光灿烂的日子,8.8
重庆森林,8.8
超脱,8.9
功夫,8.7
唐伯虎点秋香,8.7
爱在黎明破晓前,8.8
小森林 冬春篇,9.0
人生果实,9.5
一一,9.1
蝙蝠侠：黑暗骑士崛起,8.8
菊次郎的夏天,8.8
入殓师,8.9
消失的爱人,8.7
无人知晓,9.1
倩女幽魂,8.7
侧耳倾听,8.9
超能陆战队,8.7
哈利·波特与阿兹卡班的囚徒,8.8
完美的世界,9.1
甜蜜蜜,8.9
借东西的小人阿莉埃蒂,8.8
萤火之森,8.9
爱在日落黄昏时,8.9
驯龙高手,8.7
玛丽和马克思,8.9
幸福终点站,8.8
告白,8.7
大鱼,8.8
天书奇谭,9.2
射雕英雄传之东成西就,8.7
